日付,場,レース名,馬名,予想期待値,投資判定,推奨額,適用要素,人気ランク,単勝オッズ,複勝オッズ,厩舎,騎手,着順,単勝払戻,複勝払戻,備考,複勝期待値,馬主
2026/04/11,福島,10R花見山特別,バシレイア,56.24,C,0,母父カナロア|次世代評価,C,7.4,2.0,西田雄一,武藤雅,9.0,0.0,0.0,【アンチG】【休み明け】【斤量据置】【古馬混合戦】【ハイペース】【ペースアップ】【上がりP30】【父ミッキーアイル】【母父ロードカナロア】【牝】【古馬】【内枠】【福島】【芝1200m】【同距離】【良】【継続騎乗】【前走凡走】【前走上がり平凡】,0.0,キャロットF
2026/04/11,福島,11R吾妻小冨士ステークス,ダンツエラン,78.4,C (見送り),0,父カナロア|カナロア牝馬ダ中距離(-25)|大幅距離延長(-20),D,39.2,8.3,本田優,黛,15.0,0.0,0.0,【アンチG】【芝→ダ】【短期休養】【斤量減】【古馬混合戦】【ハンデ戦】【大型馬】【上がりP50】【ペースダウン】【初ダート】【初距離】【初競馬場】【父ロードカナロア】【母父Into Mischief】【牝】【古馬】【外枠】【福島】【ダ1700m】【延長】【良】【乗り替わり】【前走凡走】【前走上がり平凡】,0.0,山本哲二
2026/04/11,阪神,11R阪神牝馬ステークス,ルージュソリテール,55.6,C (少頭数除外),0,父カナロア|先行展開|黄金A,D,11.3,2.4,藤原,西塚,3.0,0.0,270.0,【アンチG】【昇級戦】【中1週】【相手強化】【斤量減】【古馬混合戦】【別定戦】【牝馬限定戦】【スローペース】【小型馬】【テンP30】【父ロードカナロア】【母父ディープインパクト】【牝】【古馬】【内枠】【阪神】【芝1600m】【同距離】【良】【継続騎乗】【前走接戦】【前走上がり平凡】古馬になって初の重賞挑戦だったがスローペースをスムーズに先行して恵まれた,0.0,東京ホースレーシング
2026/04/12,福島,10R喜多方特別,ヒルノピレネー,75.6,C (見送り),0,母父カナロア,D,13.5,4.0,北出,亀田,12.0,0.0,0.0,【アンチG】【休み明け】【斤量据置】【古馬混合戦】【上がりP30】【父ジャスタウェイ】【母父ロードカナロア】【砂被り】【ペースダウン】【初ダート】【初距離】【初競馬場】【牡】【古馬】【内枠】【福島】【ダ1150m】【短縮】【良】【乗り替わり】【前走凡走】【前走上がり上位】,0.0,ヒルノ
2026/01/31,小倉,10R平尾台特別,ステラスプレンダー,36.52,C (見送り),0,父カナロア|カナ牝ダ中距離(-25),E,33.2,5.9,石坂公,小沢,14.0,0.0,0.0,【アンチG】【Eカナロア母集団】【昇級戦】【相手強化】【休み明け】【斤量据置】【古馬混合戦】【牝馬限定戦】【テンP30】【父ロードカナロア】【母父Equalize】【牝】【古馬】【内枠】【小倉】【ダ1700m】【同距離】【良】【継続騎乗】【前走接戦】【前走上がり平凡】昇級戦で差し決着の厳しい展開だったが先行力は見せた、次走狙い目,18.82,サンデーレーシング
2026/03/22,阪神,10Rレグルスステークス,ロードラビリンス,120.625,B,500,母父カナロア|血統特注(45),D,19.3,4.4,松下武,鮫島克,9.0,0.0,0.0,【アンチG】【休み明け】【斤量増】【古馬混合戦】【別定戦】【大型馬】【上がりP15】【父ミッキーアイル】【母父ロードカナロア】【牡】【古馬】【外枠】【阪神】【ダ1800m】【同距離】【良】【乗り替わり】【前走凡走】【前走上がり平凡】,79.75,ロードホースクラブ
2026/03/29,中山,11Rマーチステークス,レヴォントゥレット,83.83,C,0,父カナロア|内枠×先行|逃げ展開,C,10.1,3.4,矢作,M.ディー,15.0,0.0,0.0,【アンチG】【中2週】【叩き２戦目】【相手強化】【斤量減】【ハンデ戦】【古馬混合戦】【大型馬】【前走展開不利】【テンP15】【父ロードカナロア】【母父マンハッタンカフェ】【牡】【古馬】【内枠】【中山】【ダ1800m】【同距離】【稍重】【乗り替わり】【前走接戦】【前走上がり平凡】,81.838,前田晋
2026/01/24,小倉,11R小倉牝馬ステークス,インヴォーグ,20.57,C,0,父カナロア|逃げ展開|穴馬ブースト,E,13.9,3.3,福永,松若,6.0,0.0,0.0,【アンチG】【距離延長】【休み明け】【相手強化】【斤量減】【ハンデ戦】【古馬混合戦】【牝馬限定戦】【大型馬】【馬体大幅減】【テンP15】【ローテ不利】【ペースアップ】【父ロードカナロア】【母父マンハッタンカフェ】【牝】【古馬】【中枠】【小倉】【芝2000m】【延長】【良】【乗り替わり】【前走接戦】【前走上がり平凡】着順以上の好内容,14.16,飯田正
2026/04/18,福島,11Rラジオ福島賞,ステラスプレンダー,38.63999999999999,C,0,父カナロア|テンP15|逃げ不利(-25pt)|カナ牝ダ中距離(-25)|映像ブースト|穴馬ブースト,E,23.0,6.0,石坂公,亀田,13.0,0.0,0.0,【アンチG】【休み明け】【斤量減】【ハンデ戦】【古馬混合戦】【テンP15】【前走展開不利】【父ロードカナロア】【母父Equalize】【牝】【古馬】【外枠】【福島】【ダ1700m】【同距離】【良】【乗り替わり】【前走凡走】【前走上がり平凡】,25.2,サンデーレーシング
2026/04/18,中山,9R袖ヶ浦特別,ヴェナートル,84.00000000000001,C,0,母父カナロア|テンP15|内枠ボーナス|逃げ不利(-25pt)|映像ブースト|成長ブースト|穴馬ブースト|映像×成長シナジー,D,14.5,2.4,武藤,武藤,4.0,0.0,0.0,【アンチG】【中2週】【相手強化】【斤量増】【古馬混合戦】【大型馬】【テンP15】【前走展開不利】【父アルアイン】【母父ロードカナロア】【牡】【古馬】【内枠】【中山】【芝1200m】【同距離】【乗り替わり】【前走接戦】【前走上がり平凡】,31.500000000000007,落合幸
2026/04/18,阪神,11Rアンタレスステークス,ロードラビリンス,340.00000000000006,A,1200,母父カナロア|ロード×カナロア(牡/セ)ダート(+20)|血統特注(45)|テンP15|逃げ不利(-25pt)|映像ブースト|成長ブースト|穴馬ブースト|映像×成長シナジー,E,119.1,18.7,松下武,鮫島克,9.0,0.0,0.0,【アンチG】【中3週】【別定戦】【古馬混合戦】【大型馬】【斤量減】【ペースダウン】【テンP15】【父ミッキーアイル】【母父ロードカナロア】【牡】【古馬】【外枠】【阪神】【ダ1800m】【同距離】【良】【継続騎乗】【前走凡走】【前走上がり平凡】,197.2,ロードホースクラブ
2026/04/19,中山,11R皐月賞,アクロフェイズ,1049.9999999999998,A,3100,父カナロア|黄金A(ディープ)|西村淳也|穴馬ブースト,D,81.7,12.0,奥村豊,西村淳也,16.0,0.0,0.0,【アンチG】【中4週】【初G1】【斤量据置】【若駒戦】【前走C好走】【父ロードカナロア】【母父ディープインパクト】【牡】【若駒】【外枠】【中山】【芝2000m】【延長】【良】【継続騎乗】【前走接戦】【前走上がり平凡】【前走C好走】【低人気激走】【高速馬場×外回し沈没】,365.4,キャロットファーム
2026/03/15,中山,11RスプリングS,アクロフェイズ,57.11999999999999,C,0,父カナロア|短縮ショック|黄金A(ディープ)|西村淳也|映像ブースト|穴馬ブースト,D,17.0,2.900000000000002,奥村豊,西村淳也,3.0,0.0,470.0,【アンチG】【短期休養】【初重賞】【相手強化】【斤量据置】【若駒戦】【外回し】【スローペース】【ペースダウン】【初競馬場】【父ロードカナロア】【母父ディープインパクト】【牡】【若駒】【外枠】【中山】【芝1800m】【短縮】【良】【継続騎乗】【前走接戦】【前走上がり平凡】,28.257600000000014,キャロットファーム
2026/03/28,中山,9Rブラッドストーンステークス,ロードマイライフ,108.64,C,200,父カナロア|ロード×カナロア(牡/セ)ダート(+20)|テンP30|先行不利(-12pt)|穴馬ブースト,D,22.4,4.9,佐藤悠,佐々木,14.0,0.0,0.0,【アンチG】【芝→ダ】【短期休養】【斤量増】【古馬混合戦】【大型馬】【砂被り】【テンP30】【ハイペース】【ペースダウン】【初ダート】【初競馬場】【父ロードカナロア】【母父ジャングルポケット】【牡】【古馬】【中枠】【中山】【ダ1200m】【同距離】【重】【乗り替わり】【前走凡走】【前走上がり平凡】,68.91850000000001,ロードホースクラブ
